All Method Calls (6722)

<java.util.Collection; size[]; int; org.apache.commons.collections.BoundedFifoBuffer; BoundedFifoBuffer[java.util.Collection]; void; null; coll>
<java.util.AbstractCollection; addAll[java.util.Collection]; boolean; org.apache.commons.collections.BoundedFifoBuffer; BoundedFifoBuffer[java.util.Collection]; void; null; this>
<org.apache.commons.collections.BoundedFifoBuffer; size[]; int; org.apache.commons.collections.BoundedFifoBuffer; isEmpty[]; boolean; null; this>
<org.apache.commons.collections.BoundedFifoBuffer; size[]; int; org.apache.commons.collections.BoundedFifoBuffer; isFull[]; boolean; null; this>
<java.util.Arrays; fill[java.lang.Object[], java.lang.Object]; void; org.apache.commons.collections.BoundedFifoBuffer; clear[]; void; null; Arrays>
<org.apache.commons.collections.BoundedFifoBuffer; isEmpty[]; boolean; org.apache.commons.collections.BoundedFifoBuffer; get[]; java.lang.Object; null; this>
<org.apache.commons.collections.BoundedFifoBuffer; isEmpty[]; boolean; org.apache.commons.collections.BoundedFifoBuffer; remove[]; java.lang.Object; null; this>
<org.apache.commons.collections.BoundedFifoBuffer$1; hasNext[]; boolean; java.lang.Object; next[]; java.lang.Object; null; this>
<org.apache.commons.collections.BoundedFifoBuffer; increment[int]; int; java.lang.Object; next[]; java.lang.Object; null; this>
<org.apache.commons.collections.BoundedFifoBuffer; remove[]; java.lang.Object; java.lang.Object; remove[]; void; null; BoundedFifoBuffer.this>
<org.apache.commons.collections.BoundedFifoBuffer; decrement[int]; int; java.lang.Object; remove[]; void; null; this>
<org.apache.commons.collections.BoundedFifoBuffer; decrement[int]; int; java.lang.Object; remove[]; void; null; this>
<java.util.List; iterator[]; java.util.Iterator; org.apache.commons.collections.ListUtils; intersection[java.util.List, java.util.List]; java.util.List; null; list2>
<java.util.Iterator; hasNext[]; boolean; org.apache.commons.collections.ListUtils; intersection[java.util.List, java.util.List]; java.util.List; null; iterator>
<java.util.Iterator; next[]; java.lang.Object; org.apache.commons.collections.ListUtils; intersection[java.util.List, java.util.List]; java.util.List; null; iterator>
<java.util.List; contains[java.lang.Object]; boolean; org.apache.commons.collections.ListUtils; intersection[java.util.List, java.util.List]; java.util.List; null; list1>
<java.util.ArrayList; add[java.lang.Object]; boolean; org.apache.commons.collections.ListUtils; intersection[java.util.List, java.util.List]; java.util.List; null; result>
