All Method Calls (17933)

<java.awt.event.ActionEvent; getActionCommand[]; java.lang.String; org.jext.actions.CreateTemplate; actionPerformed[java.awt.event.ActionEvent]; void; null; evt>
<org.jext.actions.CreateTemplate; loadFile[java.lang.String]; java.lang.String; org.jext.actions.CreateTemplate; actionPerformed[java.awt.event.ActionEvent]; void; null; this>
<org.jext.MenuAction; getJextParent[java.util.EventObject]; org.jext.JextFrame; org.jext.actions.CreateTemplate; actionPerformed[java.awt.event.ActionEvent]; void; null; this>
<java.util.HashMap; put[java.lang.Object, java.lang.Object]; java.lang.Object; org.jext.actions.CreateTemplate; actionPerformed[java.awt.event.ActionEvent]; void; null; tokens>
<org.jext.actions.CreateTemplate; addTokensFromInput[org.jext.JextFrame, java.lang.String, java.util.HashMap]; void; org.jext.actions.CreateTemplate; actionPerformed[java.awt.event.ActionEvent]; void; null; this>
<org.jext.JextFrame; open[java.lang.String]; org.jext.JextTextArea; org.jext.actions.CreateTemplate; actionPerformed[java.awt.event.ActionEvent]; void; null; parent>
<org.jext.actions.CreateTemplate; saveOutput[org.jext.JextFrame, java.lang.String]; java.lang.String; org.jext.actions.CreateTemplate; actionPerformed[java.awt.event.ActionEvent]; void; null; this>
<org.jext.actions.CreateTemplate; replace[java.lang.String, java.util.HashMap]; java.lang.String; org.jext.actions.CreateTemplate; actionPerformed[java.awt.event.ActionEvent]; void; null; this>
<java.io.PrintStream; println[java.lang.Object]; void; org.jext.actions.CreateTemplate; actionPerformed[java.awt.event.ActionEvent]; void; null; System.err>
<java.io.File; exists[]; boolean; org.jext.actions.CreateTemplate; loadFile[java.lang.String]; java.lang.String; null; source>
<java.io.File; canRead[]; boolean; org.jext.actions.CreateTemplate; loadFile[java.lang.String]; java.lang.String; null; source>
<java.io.File; getName[]; java.lang.String; org.jext.actions.CreateTemplate; loadFile[java.lang.String]; java.lang.String; null; source>
<java.io.File; length[]; long; org.jext.actions.CreateTemplate; loadFile[java.lang.String]; java.lang.String; null; source>
<java.io.BufferedReader; readLine[]; java.lang.String; org.jext.actions.CreateTemplate; loadFile[java.lang.String]; java.lang.String; null; reader>
<java.lang.StringBuffer; append[char]; java.lang.StringBuffer; org.jext.actions.CreateTemplate; loadFile[java.lang.String]; java.lang.String; null; buf.append(line)>
<java.lang.StringBuffer; append[java.lang.String]; java.lang.StringBuffer; org.jext.actions.CreateTemplate; loadFile[java.lang.String]; java.lang.String; append[char]; buf>
<java.io.BufferedReader; close[]; void; org.jext.actions.CreateTemplate; loadFile[java.lang.String]; java.lang.String; null; reader>
<java.lang.StringBuffer; toString[]; java.lang.String; org.jext.actions.CreateTemplate; loadFile[java.lang.String]; java.lang.String; null; buf>
<gnu.regexp.RE; getAllMatches[java.lang.Object]; gnu.regexp.REMatch[]; org.jext.actions.CreateTemplate; addTokensFromInput[org.jext.JextFrame, java.lang.String, java.util.HashMap]; void; null; re>
<gnu.regexp.REMatch; toString[]; java.lang.String; org.jext.actions.CreateTemplate; addTokensFromInput[org.jext.JextFrame, java.lang.String, java.util.HashMap]; void; null; matches[i]>
<java.util.HashMap; containsKey[java.lang.Object]; boolean; org.jext.actions.CreateTemplate; addTokensFromInput[org.jext.JextFrame, java.lang.String, java.util.HashMap]; void; null; tokens>
<java.lang.String; substring[int, int]; java.lang.String; org.jext.actions.CreateTemplate; addTokensFromInput[org.jext.JextFrame, java.lang.String, java.util.HashMap]; void; null; key>
<java.lang.String; length[]; int; org.jext.actions.CreateTemplate; addTokensFromInput[org.jext.JextFrame, java.lang.String, java.util.HashMap]; void; null; key>
<javax.swing.JOptionPane; showInputDialog[java.awt.Component, java.lang.Object, java.lang.String, int, javax.swing.Icon, java.lang.Object[], java.lang.Object]; java.lang.Object; org.jext.actions.CreateTemplate; addTokensFromInput[org.jext.JextFrame, java.lang.String, java.util.HashMap]; void; null; JOptionPane>
<org.jext.Jext; getProperty[java.lang.String, java.lang.Object[]]; java.lang.String; org.jext.actions.CreateTemplate; addTokensFromInput[org.jext.JextFrame, java.lang.String, java.util.HashMap]; void; null; Jext>
<org.jext.Jext; getProperty[java.lang.String]; java.lang.String; org.jext.actions.CreateTemplate; addTokensFromInput[org.jext.JextFrame, java.lang.String, java.util.HashMap]; void; null; Jext>
<java.util.HashMap; put[java.lang.Object, java.lang.Object]; java.lang.Object; org.jext.actions.CreateTemplate; addTokensFromInput[org.jext.JextFrame, java.lang.String, java.util.HashMap]; void; null; tokens>
<java.util.Set; toArray[java.lang.Object[]]; java.lang.Object[]; org.jext.actions.CreateTemplate; replace[java.lang.String, java.util.HashMap]; java.lang.String; null; tokens.keySet()>
<java.util.HashMap; keySet[]; java.util.Set; org.jext.actions.CreateTemplate; replace[java.lang.String, java.util.HashMap]; java.lang.String; toArray[java.lang.Object[]]; tokens>
<java.lang.String; equals[java.lang.Object]; boolean; org.jext.actions.CreateTemplate; replace[java.lang.String, java.util.HashMap]; java.lang.String; null; currKey>
<gnu.regexp.RE; substituteAll[java.lang.Object, java.lang.String]; java.lang.String; org.jext.actions.CreateTemplate; replace[java.lang.String, java.util.HashMap]; java.lang.String; null; re>
<java.util.HashMap; get[java.lang.Object]; java.lang.Object; org.jext.actions.CreateTemplate; replace[java.lang.String, java.util.HashMap]; java.lang.String; null; tokens>
<gnu.regexp.RE; substituteAll[java.lang.Object, java.lang.String]; java.lang.String; org.jext.actions.CreateTemplate; replace[java.lang.String, java.util.HashMap]; java.lang.String; null; re>
<java.util.HashMap; get[java.lang.Object]; java.lang.Object; org.jext.actions.CreateTemplate; replace[java.lang.String, java.util.HashMap]; java.lang.String; null; tokens>
<org.jext.Utilities; chooseFile[java.awt.Component, int]; java.lang.String; org.jext.actions.CreateTemplate; saveOutput[org.jext.JextFrame, java.lang.String]; java.lang.String; null; Utilities>
<java.io.BufferedWriter; write[java.lang.String, int, int]; void; org.jext.actions.CreateTemplate; saveOutput[org.jext.JextFrame, java.lang.String]; java.lang.String; null; writer>
<java.lang.String; length[]; int; org.jext.actions.CreateTemplate; saveOutput[org.jext.JextFrame, java.lang.String]; java.lang.String; null; output>
<java.io.BufferedWriter; flush[]; void; org.jext.actions.CreateTemplate; saveOutput[org.jext.JextFrame, java.lang.String]; java.lang.String; null; writer>
<java.io.BufferedWriter; close[]; void; org.jext.actions.CreateTemplate; saveOutput[org.jext.JextFrame, java.lang.String]; java.lang.String; null; writer>
<org.jext.MenuAction; getTextArea[java.util.EventObject]; org.jext.JextTextArea; org.jext.actions.WordCount; actionPerformed[java.awt.event.ActionEvent]; void; null; this>
<org.jext.JextTextArea; beginCompoundEdit[]; void; org.jext.actions.WordCount; actionPerformed[java.awt.event.ActionEvent]; void; null; textArea>
<org.jext.JextTextArea; getProperty[java.lang.String]; java.lang.String; org.jext.actions.WordCount; actionPerformed[java.awt.event.ActionEvent]; void; null; textArea>
<org.jext.JextTextArea; getProperty[java.lang.String]; java.lang.String; org.jext.actions.WordCount; actionPerformed[java.awt.event.ActionEvent]; void; null; textArea>
<org.jext.JextTextArea; getProperty[java.lang.String]; java.lang.String; org.jext.actions.WordCount; actionPerformed[java.awt.event.ActionEvent]; void; null; textArea>
<javax.swing.text.PlainDocument; getDefaultRootElement[]; javax.swing.text.Element; org.jext.actions.WordCount; actionPerformed[java.awt.event.ActionEvent]; void; null; textArea.getDocument()>
<org.gjt.sp.jedit.textarea.JEditTextArea; getDocument[]; org.gjt.sp.jedit.syntax.SyntaxDocument; org.jext.actions.WordCount; actionPerformed[java.awt.event.ActionEvent]; void; getDefaultRootElement[]; textArea>
<javax.swing.text.Element; getElementCount[]; int; org.jext.actions.WordCount; actionPerformed[java.awt.event.ActionEvent]; void; null; map>
<javax.swing.text.Element; getElement[int]; javax.swing.text.Element; org.jext.actions.WordCount; actionPerformed[java.awt.event.ActionEvent]; void; null; map>
<javax.swing.text.Element; getStartOffset[]; int; org.jext.actions.WordCount; actionPerformed[java.awt.event.ActionEvent]; void; null; lineElement>
<javax.swing.text.Element; getEndOffset[]; int; org.jext.actions.WordCount; actionPerformed[java.awt.event.ActionEvent]; void; null; lineElement>
<org.jext.actions.WordCount; doWordCount[java.lang.String]; void; org.jext.actions.WordCount; actionPerformed[java.awt.event.ActionEvent]; void; null; this>
<org.gjt.sp.jedit.textarea.JEditTextArea; getText[int, int]; java.lang.String; org.jext.actions.WordCount; actionPerformed[java.awt.event.ActionEvent]; void; null; textArea>
<org.jext.JextTextArea; endCompoundEdit[]; void; org.jext.actions.WordCount; actionPerformed[java.awt.event.ActionEvent]; void; null; textArea>
<org.jext.Jext; getProperty[java.lang.String]; java.lang.String; org.jext.actions.WordCount; actionPerformed[java.awt.event.ActionEvent]; void; null; Jext>
<java.lang.String; valueOf[int]; java.lang.String; org.jext.actions.WordCount; actionPerformed[java.awt.event.ActionEvent]; void; null; String>
<org.jext.Jext; getProperty[java.lang.String]; java.lang.String; org.jext.actions.WordCount; actionPerformed[java.awt.event.ActionEvent]; void; null; Jext>
<java.lang.String; valueOf[int]; java.lang.String; org.jext.actions.WordCount; actionPerformed[java.awt.event.ActionEvent]; void; null; String>
<org.jext.Jext; getProperty[java.lang.String]; java.lang.String; org.jext.actions.WordCount; actionPerformed[java.awt.event.ActionEvent]; void; null; Jext>
<java.lang.String; valueOf[int]; java.lang.String; org.jext.actions.WordCount; actionPerformed[java.awt.event.ActionEvent]; void; null; String>
<org.jext.Jext; getProperty[java.lang.String]; java.lang.String; org.jext.actions.WordCount; actionPerformed[java.awt.event.ActionEvent]; void; null; Jext>
<java.lang.String; valueOf[int]; java.lang.String; org.jext.actions.WordCount; actionPerformed[java.awt.event.ActionEvent]; void; null; String>
<javax.swing.JOptionPane; showMessageDialog[java.awt.Component, java.lang.Object, java.lang.String, int]; void; org.jext.actions.WordCount; actionPerformed[java.awt.event.ActionEvent]; void; null; JOptionPane>
<org.jext.MenuAction; getJextParent[java.util.EventObject]; org.jext.JextFrame; org.jext.actions.WordCount; actionPerformed[java.awt.event.ActionEvent]; void; null; this>
<org.jext.Jext; getProperty[java.lang.String]; java.lang.String; org.jext.actions.WordCount; actionPerformed[java.awt.event.ActionEvent]; void; null; Jext>
<java.lang.String; length[]; int; org.jext.actions.WordCount; doWordCount[java.lang.String]; void; null; text>
<java.lang.String; trim[]; java.lang.String; org.jext.actions.WordCount; doWordCount[java.lang.String]; void; null; text>
