All Method Calls (2657)

<org.jgrapht.Graph; getEdgeFactory[]; org.jgrapht.EdgeFactory<V,E>; org.jgrapht.Graphs; addEdge[org.jgrapht.Graph<V,E>, V, V, double]; E; null; g>
<org.jgrapht.EdgeFactory; createEdge[V, V]; E; org.jgrapht.Graphs; addEdge[org.jgrapht.Graph<V,E>, V, V, double]; E; null; ef>
<java.lang.Object; getClass[]; java.lang.Class<? extends org.jgrapht.Graph>; org.jgrapht.Graphs; addEdge[org.jgrapht.Graph<V,E>, V, V, double]; E; null; g>
<org.jgrapht.WeightedGraph; setEdgeWeight[E, double]; void; org.jgrapht.Graphs; addEdge[org.jgrapht.Graph<V,E>, V, V, double]; E; null; ((WeightedGraph<V,E>)g)>
<org.jgrapht.Graph; addEdge[V, V, E]; boolean; org.jgrapht.Graphs; addEdge[org.jgrapht.Graph<V,E>, V, V, double]; E; null; g>
<org.jgrapht.Graph; addVertex[V]; boolean; org.jgrapht.Graphs; addEdgeWithVertices[org.jgrapht.Graph<V,E>, V, V]; E; null; g>
<org.jgrapht.Graph; addVertex[V]; boolean; org.jgrapht.Graphs; addEdgeWithVertices[org.jgrapht.Graph<V,E>, V, V]; E; null; g>
<org.jgrapht.Graph; addEdge[V, V]; E; org.jgrapht.Graphs; addEdgeWithVertices[org.jgrapht.Graph<V,E>, V, V]; E; null; g>
<org.jgrapht.Graph; getEdgeSource[E]; V; org.jgrapht.Graphs; addEdgeWithVertices[org.jgrapht.Graph<V,E>, org.jgrapht.Graph<V,E>, E]; boolean; null; sourceGraph>
<org.jgrapht.Graph; getEdgeTarget[E]; V; org.jgrapht.Graphs; addEdgeWithVertices[org.jgrapht.Graph<V,E>, org.jgrapht.Graph<V,E>, E]; boolean; null; sourceGraph>
<org.jgrapht.Graph; addVertex[V]; boolean; org.jgrapht.Graphs; addEdgeWithVertices[org.jgrapht.Graph<V,E>, org.jgrapht.Graph<V,E>, E]; boolean; null; targetGraph>
<org.jgrapht.Graph; addVertex[V]; boolean; org.jgrapht.Graphs; addEdgeWithVertices[org.jgrapht.Graph<V,E>, org.jgrapht.Graph<V,E>, E]; boolean; null; targetGraph>
<org.jgrapht.Graph; addEdge[V, V, E]; boolean; org.jgrapht.Graphs; addEdgeWithVertices[org.jgrapht.Graph<V,E>, org.jgrapht.Graph<V,E>, E]; boolean; null; targetGraph>
<org.jgrapht.Graph; addVertex[V]; boolean; org.jgrapht.Graphs; addEdgeWithVertices[org.jgrapht.Graph<V,E>, V, V, double]; E; null; g>
<org.jgrapht.Graph; addVertex[V]; boolean; org.jgrapht.Graphs; addEdgeWithVertices[org.jgrapht.Graph<V,E>, V, V, double]; E; null; g>
<org.jgrapht.Graphs; addEdge[org.jgrapht.Graph<V,E>, V, V, double]; E; org.jgrapht.Graphs; addEdgeWithVertices[org.jgrapht.Graph<V,E>, V, V, double]; E; null; this>
<org.jgrapht.Graphs; addAllVertices[org.jgrapht.Graph<? super V,? super >, java.util.Collection<? extends V>]; boolean; org.jgrapht.Graphs; addGraph[org.jgrapht.Graph<? super V,? super E>, org.jgrapht.Graph<V,E>]; boolean; null; this>
<org.jgrapht.Graph; vertexSet[]; java.util.Set<V>; org.jgrapht.Graphs; addGraph[org.jgrapht.Graph<? super V,? super E>, org.jgrapht.Graph<V,E>]; boolean; null; source>
<org.jgrapht.Graphs; addAllEdges[org.jgrapht.Graph<? super V,? super E>, org.jgrapht.Graph<V,E>, java.util.Collection<? extends E>]; boolean; org.jgrapht.Graphs; addGraph[org.jgrapht.Graph<? super V,? super E>, org.jgrapht.Graph<V,E>]; boolean; null; this>
<org.jgrapht.Graph; edgeSet[]; java.util.Set<E>; org.jgrapht.Graphs; addGraph[org.jgrapht.Graph<? super V,? super E>, org.jgrapht.Graph<V,E>]; boolean; null; source>
<org.jgrapht.Graphs; addAllVertices[org.jgrapht.Graph<? super V,? super >, java.util.Collection<? extends V>]; boolean; org.jgrapht.Graphs; addGraphReversed[org.jgrapht.DirectedGraph<? super V,? super E>, org.jgrapht.DirectedGraph<V,E>]; void; null; this>
<org.jgrapht.Graph; vertexSet[]; java.util.Set<V>; org.jgrapht.Graphs; addGraphReversed[org.jgrapht.DirectedGraph<? super V,? super E>, org.jgrapht.DirectedGraph<V,E>]; void; null; source>
<org.jgrapht.Graph; edgeSet[]; java.util.Set<E>; org.jgrapht.Graphs; addGraphReversed[org.jgrapht.DirectedGraph<? super V,? super E>, org.jgrapht.DirectedGraph<V,E>]; void; null; source>
<org.jgrapht.Graph; addEdge[, ]; ; org.jgrapht.Graphs; addGraphReversed[org.jgrapht.DirectedGraph<? super V,? super E>, org.jgrapht.DirectedGraph<V,E>]; void; null; destination>
<org.jgrapht.Graph; getEdgeTarget[E]; V; org.jgrapht.Graphs; addGraphReversed[org.jgrapht.DirectedGraph<? super V,? super E>, org.jgrapht.DirectedGraph<V,E>]; void; null; source>
<org.jgrapht.Graph; getEdgeSource[E]; V; org.jgrapht.Graphs; addGraphReversed[org.jgrapht.DirectedGraph<? super V,? super E>, org.jgrapht.DirectedGraph<V,E>]; void; null; source>
<org.jgrapht.Graph; getEdgeSource[E]; V; org.jgrapht.Graphs; addAllEdges[org.jgrapht.Graph<? super V,? super E>, org.jgrapht.Graph<V,E>, java.util.Collection<? extends E>]; boolean; null; source>
<org.jgrapht.Graph; getEdgeTarget[E]; V; org.jgrapht.Graphs; addAllEdges[org.jgrapht.Graph<? super V,? super E>, org.jgrapht.Graph<V,E>, java.util.Collection<? extends E>]; boolean; null; source>
<org.jgrapht.Graph; addVertex[]; boolean; org.jgrapht.Graphs; addAllEdges[org.jgrapht.Graph<? super V,? super E>, org.jgrapht.Graph<V,E>, java.util.Collection<? extends E>]; boolean; null; destination>
<org.jgrapht.Graph; addVertex[]; boolean; org.jgrapht.Graphs; addAllEdges[org.jgrapht.Graph<? super V,? super E>, org.jgrapht.Graph<V,E>, java.util.Collection<? extends E>]; boolean; null; destination>
<org.jgrapht.Graph; addEdge[, , ]; boolean; org.jgrapht.Graphs; addAllEdges[org.jgrapht.Graph<? super V,? super E>, org.jgrapht.Graph<V,E>, java.util.Collection<? extends E>]; boolean; null; destination>
<org.jgrapht.Graph; addVertex[]; boolean; org.jgrapht.Graphs; addAllVertices[org.jgrapht.Graph<? super V,? super E>, java.util.Collection<? extends V>]; boolean; null; destination>
<org.jgrapht.Graph; edgesOf[V]; java.util.Set<E>; org.jgrapht.Graphs; neighborListOf[org.jgrapht.Graph<V,E>, V]; java.util.List<V>; null; g>
<java.util.List; add[V]; boolean; org.jgrapht.Graphs; neighborListOf[org.jgrapht.Graph<V,E>, V]; java.util.List<V>; null; neighbors>
<org.jgrapht.Graphs; getOppositeVertex[org.jgrapht.Graph<V,E>, E, V]; V; org.jgrapht.Graphs; neighborListOf[org.jgrapht.Graph<V,E>, V]; java.util.List<V>; null; this>
<org.jgrapht.DirectedGraph; incomingEdgesOf[V]; java.util.Set<E>; org.jgrapht.Graphs; predecessorListOf[org.jgrapht.DirectedGraph<V,E>, V]; java.util.List<V>; null; g>
<java.util.List; add[V]; boolean; org.jgrapht.Graphs; predecessorListOf[org.jgrapht.DirectedGraph<V,E>, V]; java.util.List<V>; null; predecessors>
<org.jgrapht.Graphs; getOppositeVertex[org.jgrapht.Graph<V,E>, E, V]; V; org.jgrapht.Graphs; predecessorListOf[org.jgrapht.DirectedGraph<V,E>, V]; java.util.List<V>; null; this>
<org.jgrapht.DirectedGraph; outgoingEdgesOf[V]; java.util.Set<E>; org.jgrapht.Graphs; successorListOf[org.jgrapht.DirectedGraph<V,E>, V]; java.util.List<V>; null; g>
<java.util.List; add[V]; boolean; org.jgrapht.Graphs; successorListOf[org.jgrapht.DirectedGraph<V,E>, V]; java.util.List<V>; null; successors>
<org.jgrapht.Graphs; getOppositeVertex[org.jgrapht.Graph<V,E>, E, V]; V; org.jgrapht.Graphs; successorListOf[org.jgrapht.DirectedGraph<V,E>, V]; java.util.List<V>; null; this>
<java.lang.Object; equals[java.lang.Object]; boolean; org.jgrapht.Graphs; testIncidence[org.jgrapht.Graph<V,E>, E, V]; boolean; null; g.getEdgeSource(e)>
<org.jgrapht.Graph; getEdgeSource[E]; V; org.jgrapht.Graphs; testIncidence[org.jgrapht.Graph<V,E>, E, V]; boolean; equals[java.lang.Object]; g>
<java.lang.Object; equals[java.lang.Object]; boolean; org.jgrapht.Graphs; testIncidence[org.jgrapht.Graph<V,E>, E, V]; boolean; null; g.getEdgeTarget(e)>
<org.jgrapht.Graph; getEdgeTarget[E]; V; org.jgrapht.Graphs; testIncidence[org.jgrapht.Graph<V,E>, E, V]; boolean; equals[java.lang.Object]; g>
<org.jgrapht.Graph; getEdgeSource[E]; V; org.jgrapht.Graphs; getOppositeVertex[org.jgrapht.Graph<V,E>, E, V]; V; null; g>
<org.jgrapht.Graph; getEdgeTarget[E]; V; org.jgrapht.Graphs; getOppositeVertex[org.jgrapht.Graph<V,E>, E, V]; V; null; g>
<java.lang.Object; equals[java.lang.Object]; boolean; org.jgrapht.Graphs; getOppositeVertex[org.jgrapht.Graph<V,E>, E, V]; V; null; v>
<java.lang.Object; equals[java.lang.Object]; boolean; org.jgrapht.Graphs; getOppositeVertex[org.jgrapht.Graph<V,E>, E, V]; V; null; v>
<org.jgrapht.GraphPath; getGraph[]; org.jgrapht.Graph<V,E>; org.jgrapht.Graphs; getPathVertexList[org.jgrapht.GraphPath<V,E>]; java.util.List<V>; null; path>
<org.jgrapht.GraphPath; getStartVertex[]; V; org.jgrapht.Graphs; getPathVertexList[org.jgrapht.GraphPath<V,E>]; java.util.List<V>; null; path>
<java.util.List; add[V]; boolean; org.jgrapht.Graphs; getPathVertexList[org.jgrapht.GraphPath<V,E>]; java.util.List<V>; null; list>
<org.jgrapht.GraphPath; getEdgeList[]; java.util.List<E>; org.jgrapht.Graphs; getPathVertexList[org.jgrapht.GraphPath<V,E>]; java.util.List<V>; null; path>
<org.jgrapht.Graphs; getOppositeVertex[org.jgrapht.Graph<V,E>, E, V]; V; org.jgrapht.Graphs; getPathVertexList[org.jgrapht.GraphPath<V,E>]; java.util.List<V>; null; this>
<java.util.List; add[V]; boolean; org.jgrapht.Graphs; getPathVertexList[org.jgrapht.GraphPath<V,E>]; java.util.List<V>; null; list>
<org.jgrapht.VertexFactory; createVertex[]; V; org.jgrapht.generate.StarGraphGenerator; generateGraph[org.jgrapht.Graph<V,E>, org.jgrapht.VertexFactory<V>, java.util.Map<java.lang.String,V>]; void; null; vertexFactory>
<org.jgrapht.Graph; addVertex[V]; boolean; org.jgrapht.generate.StarGraphGenerator; generateGraph[org.jgrapht.Graph<V,E>, org.jgrapht.VertexFactory<V>, java.util.Map<java.lang.String,V>]; void; null; target>
<java.util.Map; put[java.lang.String, V]; V; org.jgrapht.generate.StarGraphGenerator; generateGraph[org.jgrapht.Graph<V,E>, org.jgrapht.VertexFactory<V>, java.util.Map<java.lang.String,V>]; void; null; resultMap>
<org.jgrapht.VertexFactory; createVertex[]; V; org.jgrapht.generate.StarGraphGenerator; generateGraph[org.jgrapht.Graph<V,E>, org.jgrapht.VertexFactory<V>, java.util.Map<java.lang.String,V>]; void; null; vertexFactory>
<org.jgrapht.Graph; addVertex[V]; boolean; org.jgrapht.generate.StarGraphGenerator; generateGraph[org.jgrapht.Graph<V,E>, org.jgrapht.VertexFactory<V>, java.util.Map<java.lang.String,V>]; void; null; target>
<java.util.Set; iterator[]; java.util.Iterator<V>; org.jgrapht.generate.StarGraphGenerator; generateGraph[org.jgrapht.Graph<V,E>, org.jgrapht.VertexFactory<V>, java.util.Map<java.lang.String,V>]; void; null; target.vertexSet()>
<org.jgrapht.Graph; vertexSet[]; java.util.Set<V>; org.jgrapht.generate.StarGraphGenerator; generateGraph[org.jgrapht.Graph<V,E>, org.jgrapht.VertexFactory<V>, java.util.Map<java.lang.String,V>]; void; iterator[]; target>
<java.util.Iterator; hasNext[]; boolean; org.jgrapht.generate.StarGraphGenerator; generateGraph[org.jgrapht.Graph<V,E>, org.jgrapht.VertexFactory<V>, java.util.Map<java.lang.String,V>]; void; null; iter>
<java.util.Iterator; next[]; V; org.jgrapht.generate.StarGraphGenerator; generateGraph[org.jgrapht.Graph<V,E>, org.jgrapht.VertexFactory<V>, java.util.Map<java.lang.String,V>]; void; null; iter>
<org.jgrapht.Graph; addEdge[V, V]; E; org.jgrapht.generate.StarGraphGenerator; generateGraph[org.jgrapht.Graph<V,E>, org.jgrapht.VertexFactory<V>, java.util.Map<java.lang.String,V>]; void; null; target>
<org.jgrapht.VertexFactory; createVertex[]; V; java.lang.Object; createVertex[]; V; null; vertexFactory>
<java.util.Collection; add[V]; boolean; java.lang.Object; createVertex[]; V; null; rim>
