All Method Calls (14894)

<net.sourceforge.pmd.RuleReference; isSame[java.lang.String, java.lang.String]; boolean; net.sourceforge.pmd.RuleReference; setName[java.lang.String]; void; null; this>
<net.sourceforge.pmd.RuleReference; isSame[java.lang.String, java.lang.String]; boolean; net.sourceforge.pmd.RuleReference; addProperty[java.lang.String, java.lang.String]; void; null; this>
<java.util.Hashtable; put[java.lang.Object, java.lang.Object]; java.lang.Object; net.sourceforge.pmd.RuleReference; addProperty[java.lang.String, java.lang.String]; void; null; this.properties>
<java.util.Hashtable; entrySet[]; java.util.Set<java.util.Map.Entry<java.lang.Object,java.lang.Object>>; net.sourceforge.pmd.RuleReference; addProperties[java.util.Properties]; void; null; properties>
<net.sourceforge.pmd.RuleReference; addProperty[java.lang.String, java.lang.String]; void; net.sourceforge.pmd.RuleReference; addProperties[java.util.Properties]; void; null; this>
<java.util.Map$Entry; getKey[]; java.lang.Object; net.sourceforge.pmd.RuleReference; addProperties[java.util.Properties]; void; null; entry>
<java.util.Map$Entry; getValue[]; java.lang.Object; net.sourceforge.pmd.RuleReference; addProperties[java.util.Properties]; void; null; entry>
<net.sourceforge.pmd.RuleReference; isSame[java.lang.String, java.lang.String]; boolean; net.sourceforge.pmd.RuleReference; setMessage[java.lang.String]; void; null; this>
<net.sourceforge.pmd.RuleReference; isSame[java.lang.String, java.lang.String]; boolean; net.sourceforge.pmd.RuleReference; setDescription[java.lang.String]; void; null; this>
<net.sourceforge.pmd.RuleReference; contains[java.util.Collection<java.lang.String>, java.lang.String]; boolean; net.sourceforge.pmd.RuleReference; addExample[java.lang.String]; void; null; this>
<java.util.List; clear[]; void; net.sourceforge.pmd.RuleReference; addExample[java.lang.String]; void; null; this.examples>
<java.util.List; add[java.lang.String]; boolean; net.sourceforge.pmd.RuleReference; addExample[java.lang.String]; void; null; this.examples>
<net.sourceforge.pmd.RuleReference; isSame[java.lang.String, java.lang.String]; boolean; net.sourceforge.pmd.RuleReference; setExternalInfoUrl[java.lang.String]; void; null; this>
<net.sourceforge.pmd.util.StringUtil; isSame[java.lang.String, java.lang.String, boolean, boolean, boolean]; boolean; net.sourceforge.pmd.RuleReference; isSame[java.lang.String, java.lang.String]; boolean; null; StringUtil>
<net.sourceforge.pmd.RuleReference; isSame[java.lang.String, java.lang.String]; boolean; net.sourceforge.pmd.RuleReference; contains[java.util.Collection<java.lang.String>, java.lang.String]; boolean; null; this>
<net.sourceforge.pmd.ast.JavaParser; setJDK15[]; void; net.sourceforge.pmd.TargetJDK1_5; createParser[java.io.InputStream]; net.sourceforge.pmd.ast.JavaParser; null; jp>
<net.sourceforge.pmd.ast.JavaParser; setJDK15[]; void; net.sourceforge.pmd.TargetJDK1_5; createParser[java.io.Reader]; net.sourceforge.pmd.ast.JavaParser; null; jp>
<java.lang.String; indexOf[java.lang.String]; int; net.sourceforge.pmd.ExternalRuleID; ExternalRuleID[java.lang.String]; void; null; id>
<java.lang.String; length[]; int; net.sourceforge.pmd.ExternalRuleID; ExternalRuleID[java.lang.String]; void; null; id>
<java.lang.String; substring[int, int]; java.lang.String; net.sourceforge.pmd.ExternalRuleID; ExternalRuleID[java.lang.String]; void; null; id>
<java.lang.String; substring[int]; java.lang.String; net.sourceforge.pmd.ExternalRuleID; ExternalRuleID[java.lang.String]; void; null; id>
<net.sourceforge.pmd.ast.JavaParserVisitor; visit[net.sourceforge.pmd.ast.SimpleJavaNode, java.lang.Object]; java.lang.Object; net.sourceforge.pmd.ast.SimpleJavaNode; jjtAccept[net.sourceforge.pmd.ast.JavaParserVisitor, java.lang.Object]; java.lang.Object; null; visitor>
<net.sourceforge.pmd.ast.JavaNode; jjtAccept[net.sourceforge.pmd.ast.JavaParserVisitor, java.lang.Object]; java.lang.Object; net.sourceforge.pmd.ast.SimpleJavaNode; childrenAccept[net.sourceforge.pmd.ast.JavaParserVisitor, java.lang.Object]; java.lang.Object; null; ((JavaNode)children[i])>
<net.sourceforge.pmd.ast.JavaParserVisitor; visit[net.sourceforge.pmd.ast.ASTUnaryExpressionNotPlusMinus, java.lang.Object]; java.lang.Object; net.sourceforge.pmd.ast.ASTUnaryExpressionNotPlusMinus; jjtAccept[net.sourceforge.pmd.ast.JavaParserVisitor, java.lang.Object]; java.lang.Object; null; visitor>
<net.sourceforge.pmd.ast.JavaParserVisitor; visit[net.sourceforge.pmd.ast.ASTExplicitConstructorInvocation, java.lang.Object]; java.lang.Object; net.sourceforge.pmd.ast.ASTExplicitConstructorInvocation; jjtAccept[net.sourceforge.pmd.ast.JavaParserVisitor, java.lang.Object]; java.lang.Object; visit[net.sourceforge.pmd.ast.ASTUnaryExpressionNotPlusMinus, java.lang.Object]; visitor>
<net.sourceforge.pmd.ast.ASTArguments; getArgumentCount[]; int; net.sourceforge.pmd.ast.ASTExplicitConstructorInvocation; getArgumentCount[]; int; null; ((ASTArguments)this.jjtGetChild(0))>
<net.sourceforge.pmd.ast.SimpleNode; jjtGetChild[int]; net.sourceforge.pmd.ast.Node; net.sourceforge.pmd.ast.ASTExplicitConstructorInvocation; getArgumentCount[]; int; getArgumentCount[]; this>
<java.lang.String; equals[java.lang.Object]; boolean; net.sourceforge.pmd.ast.ASTExplicitConstructorInvocation; isThis[]; boolean; null; thisOrSuper>
<java.lang.String; equals[java.lang.Object]; boolean; net.sourceforge.pmd.ast.ASTExplicitConstructorInvocation; isSuper[]; boolean; null; thisOrSuper>
<net.sourceforge.pmd.ast.JavaParserVisitor; visit[net.sourceforge.pmd.ast.ASTThrowStatement, java.lang.Object]; java.lang.Object; net.sourceforge.pmd.ast.ASTThrowStatement; jjtAccept[net.sourceforge.pmd.ast.JavaParserVisitor, java.lang.Object]; java.lang.Object; null; visitor>
<net.sourceforge.pmd.ast.SimpleNode; getFirstChildOfType[java.lang.Class<net.sourceforge.pmd.ast.ASTClassOrInterfaceType>]; net.sourceforge.pmd.ast.ASTClassOrInterfaceType; net.sourceforge.pmd.ast.ASTThrowStatement; getFirstClassOrInterfaceTypeImage[]; java.lang.String; null; this>
<net.sourceforge.pmd.ast.SimpleNode; getImage[]; java.lang.String; net.sourceforge.pmd.ast.ASTThrowStatement; getFirstClassOrInterfaceTypeImage[]; java.lang.String; null; t>
<net.sourceforge.pmd.ast.JavaParserVisitor; visit[net.sourceforge.pmd.ast.ASTEnumConstant, java.lang.Object]; java.lang.Object; net.sourceforge.pmd.ast.ASTEnumConstant; jjtAccept[net.sourceforge.pmd.ast.JavaParserVisitor, java.lang.Object]; java.lang.Object; null; visitor>
<java.io.PrintStream; println[java.lang.String]; void; net.sourceforge.pmd.ast.ASTEnumConstant; dump[java.lang.String]; void; null; System.out>
<net.sourceforge.pmd.ast.SimpleNode; toString[java.lang.String]; java.lang.String; net.sourceforge.pmd.ast.ASTEnumConstant; dump[java.lang.String]; void; null; this>
<net.sourceforge.pmd.ast.SimpleNode; getImage[]; java.lang.String; net.sourceforge.pmd.ast.ASTEnumConstant; dump[java.lang.String]; void; null; this>
<net.sourceforge.pmd.ast.SimpleNode; dumpChildren[java.lang.String]; void; net.sourceforge.pmd.ast.ASTEnumConstant; dump[java.lang.String]; void; null; this>
<net.sourceforge.pmd.ast.SimpleNode; jjtGetNumChildren[]; int; net.sourceforge.pmd.ast.ASTClassOrInterfaceBodyDeclaration; hasSuppressWarningsAnnotationFor[net.sourceforge.pmd.Rule]; boolean; null; this>
<net.sourceforge.pmd.ast.SimpleNode; jjtGetChild[int]; net.sourceforge.pmd.ast.Node; net.sourceforge.pmd.ast.ASTClassOrInterfaceBodyDeclaration; hasSuppressWarningsAnnotationFor[net.sourceforge.pmd.Rule]; boolean; null; this>
<net.sourceforge.pmd.ast.SimpleNode; jjtGetChild[int]; net.sourceforge.pmd.ast.Node; net.sourceforge.pmd.ast.ASTClassOrInterfaceBodyDeclaration; hasSuppressWarningsAnnotationFor[net.sourceforge.pmd.Rule]; boolean; null; this>
<net.sourceforge.pmd.ast.ASTAnnotation; suppresses[net.sourceforge.pmd.Rule]; boolean; net.sourceforge.pmd.ast.ASTClassOrInterfaceBodyDeclaration; hasSuppressWarningsAnnotationFor[net.sourceforge.pmd.Rule]; boolean; null; a>
<net.sourceforge.pmd.ast.JavaParserVisitor; visit[net.sourceforge.pmd.ast.ASTClassOrInterfaceBodyDeclaration, java.lang.Object]; java.lang.Object; net.sourceforge.pmd.ast.ASTClassOrInterfaceBodyDeclaration; jjtAccept[net.sourceforge.pmd.ast.JavaParserVisitor, java.lang.Object]; java.lang.Object; null; visitor>
<net.sourceforge.pmd.ast.Node; jjtGetParent[]; net.sourceforge.pmd.ast.Node; net.sourceforge.pmd.ast.ASTClassOrInterfaceBodyDeclaration; isAnonymousInnerClass[]; boolean; null; jjtGetParent()>
<net.sourceforge.pmd.ast.SimpleNode; jjtGetParent[]; net.sourceforge.pmd.ast.Node; net.sourceforge.pmd.ast.ASTClassOrInterfaceBodyDeclaration; isAnonymousInnerClass[]; boolean; jjtGetParent[]; this>
<net.sourceforge.pmd.ast.Node; jjtGetParent[]; net.sourceforge.pmd.ast.Node; net.sourceforge.pmd.ast.ASTClassOrInterfaceBodyDeclaration; isEnumChild[]; boolean; null; jjtGetParent()>
<net.sourceforge.pmd.ast.SimpleNode; jjtGetParent[]; net.sourceforge.pmd.ast.Node; net.sourceforge.pmd.ast.ASTClassOrInterfaceBodyDeclaration; isEnumChild[]; boolean; jjtGetParent[]; this>
<net.sourceforge.pmd.ast.ASTClassOrInterfaceBodyDeclaration; isAnonymousInnerClass[]; boolean; net.sourceforge.pmd.ast.ASTClassOrInterfaceBodyDeclaration; dump[java.lang.String]; void; null; this>
<java.io.PrintStream; println[java.lang.String]; void; net.sourceforge.pmd.ast.ASTClassOrInterfaceBodyDeclaration; dump[java.lang.String]; void; null; System.out>
<net.sourceforge.pmd.ast.SimpleNode; toString[java.lang.String]; java.lang.String; net.sourceforge.pmd.ast.ASTClassOrInterfaceBodyDeclaration; dump[java.lang.String]; void; null; this>
