All Method Calls (5716)

<not found; addTest[]; not found; test.org.quickserver.AllJUnitTests; suite[]; test.org.quickserver.Test; null; suite>
<not found; addTest[]; not found; test.org.quickserver.AllJUnitTests; suite[]; test.org.quickserver.Test; null; suite>
<not found; addTest[]; not found; test.org.quickserver.AllJUnitTests; suite[]; test.org.quickserver.Test; null; suite>
<not found; run[]; not found; test.org.quickserver.SkeletonTest; main[java.lang.String[]]; void; null; junit.textui.TestRunner>
<not found; assertTrue[]; not found; test.org.quickserver.SkeletonTest; testAssert[]; void; null; this>
<java.lang.String; equals[java.lang.Object]; boolean; test.org.quickserver.net.server.TestCommandHandler; handleCommand[test.org.quickserver.net.server.ClientHandler, java.lang.String]; void; null; response.toLowerCase()>
<java.lang.String; toLowerCase[]; java.lang.String; test.org.quickserver.net.server.TestCommandHandler; handleCommand[test.org.quickserver.net.server.ClientHandler, java.lang.String]; void; equals[java.lang.Object]; response>
<not found; closeConnection[]; not found; test.org.quickserver.net.server.TestCommandHandler; handleCommand[test.org.quickserver.net.server.ClientHandler, java.lang.String]; void; null; handler>
<not found; sendClientMsg[]; not found; test.org.quickserver.net.server.TestCommandHandler; handleCommand[test.org.quickserver.net.server.ClientHandler, java.lang.String]; void; null; handler>
<not found; run[]; not found; test.org.quickserver.net.server.QuickServerTest; main[java.lang.String[]]; void; null; junit.textui.TestRunner>
<not found; assertEquals[]; not found; test.org.quickserver.net.server.QuickServerTest; testQuickServerStatics[]; void; null; this>
<not found; getVersionNo[]; not found; test.org.quickserver.net.server.QuickServerTest; testQuickServerStatics[]; void; null; QuickServer>
<not found; assertEquals[]; not found; test.org.quickserver.net.server.QuickServerTest; testQuickServerStatics[]; void; null; this>
<not found; getVersion[]; not found; test.org.quickserver.net.server.QuickServerTest; testQuickServerStatics[]; void; null; QuickServer>
<not found; assertNotNull[]; not found; test.org.quickserver.net.server.QuickServerTest; testQuickServerBasic[]; void; null; this>
<not found; setTimeout[]; not found; test.org.quickserver.net.server.QuickServerTest; testQuickServerTimeout[]; void; null; server>
<not found; assertEquals[]; not found; test.org.quickserver.net.server.QuickServerTest; testQuickServerTimeout[]; void; null; this>
<not found; getTimeout[]; not found; test.org.quickserver.net.server.QuickServerTest; testQuickServerTimeout[]; void; null; server>
<not found; assertEquals[]; not found; test.org.quickserver.net.server.QuickServerTest; testQuickServerClientCount[]; void; null; this>
<not found; getClientCount[]; not found; test.org.quickserver.net.server.QuickServerTest; testQuickServerClientCount[]; void; null; server>
<not found; assertEquals[]; not found; test.org.quickserver.net.server.QuickServerTest; testQuickServerClientCount[]; void; null; this>
<not found; isClosed[]; not found; test.org.quickserver.net.server.QuickServerTest; testQuickServerClientCount[]; void; null; server>
<not found; assertNotNull[]; not found; test.org.quickserver.net.server.QuickServerTest; testQuickServerBindAddr[]; void; null; this>
<not found; getBindAddr[]; not found; test.org.quickserver.net.server.QuickServerTest; testQuickServerBindAddr[]; void; null; server>
<not found; setStoreObjects[]; not found; test.org.quickserver.net.server.QuickServerTest; testQuickServerStore[]; void; null; server>
<not found; assertEquals[]; not found; test.org.quickserver.net.server.QuickServerTest; testQuickServerStore[]; void; null; this>
<not found; getStoreObjects[]; not found; test.org.quickserver.net.server.QuickServerTest; testQuickServerStore[]; void; null; server>
<not found; assertNotNull[]; not found; test.org.quickserver.net.server.QuickServerTest; testQuickServerAppLogger[]; void; null; this>
<not found; getAppLogger[]; not found; test.org.quickserver.net.server.QuickServerTest; testQuickServerAppLogger[]; void; null; server>
<not found; setName[]; not found; test.org.quickserver.net.server.SimpleServerBlockTest; configServer[]; void; null; config>
<test.org.quickserver.net.server.SimpleServerBlockTest; getServerName[]; java.lang.String; test.org.quickserver.net.server.SimpleServerBlockTest; configServer[]; void; null; this>
<not found; setClientEventHandler[]; not found; test.org.quickserver.net.server.SimpleServerBlockTest; configServer[]; void; null; config>
<not found; setClientCommandHandler[]; not found; test.org.quickserver.net.server.SimpleServerBlockTest; configServer[]; void; null; config>
<not found; setBlocking[]; not found; test.org.quickserver.net.server.SimpleServerBlockTest; configServer[]; void; null; config.getServerMode()>
<not found; getServerMode[]; not found; test.org.quickserver.net.server.SimpleServerBlockTest; configServer[]; void; setBlocking[]; config>
<test.org.quickserver.net.server.SimpleServerBlockTest; getServerMode[]; boolean; test.org.quickserver.net.server.SimpleServerBlockTest; configServer[]; void; null; this>
<not found; setPort[]; not found; test.org.quickserver.net.server.SimpleServerBlockTest; configServer[]; void; null; config>
<not found; setBindAddr[]; not found; test.org.quickserver.net.server.SimpleServerBlockTest; configServer[]; void; null; config>
<test.org.quickserver.net.server.SimpleServerBlockTest; configServer[]; void; test.org.quickserver.net.server.SimpleServerBlockTest; setUp[]; void; null; this>
<not found; initService[]; not found; test.org.quickserver.net.server.SimpleServerBlockTest; setUp[]; void; null; server>
